,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per
0,al,0.088,durch,0.221,fur,0.25,oder,0.078,zu,0.188,werden,0.199,der,0.351,die,0.332
1,mussen,0.077,sowie,0.059,wollen,0.063,auch,0.071,ist,0.119,dem,0.102,eine,0.114,und,0.185
2,wird,0.066,es,0.047,ihrer,0.038,unsere,0.064,nicht,0.106,darf,0.043,mit,0.081,den,0.066
3,mehr,0.032,gild,0.024,deutsche,0.028,hat,0.061,nur,0.05,unter,0.035,einer,0.055,afd,0.035
4,damit,0.03,mindesten,0.022,immer,0.025,unserer,0.045,haben,0.04,kapitel,0.031,bei,0.038,sind,0.034
5,vor,0.029,in,0.021,einen,0.023,wieder,0.038,lehnen,0.026,ohne,0.024,un,0.018,nach,0.015
6,dabei,0.019,wahrend,0.015,alle,0.02,sich,0.029,wie,0.022,neue,0.02,bleiben,0.01,zur,0.009
7,gegen,0.017,offentliche,0.014,setzen,0.017,ab,0.027,bereit,0.015,beim,0.018,unterstutzen,0.009,starken,0.009
8,setzt,0.016,staatlich,0.014,dazu,0.017,keine,0.024,uber,0.011,zum,0.017,aller,0.009,soll,0.007
9,bzw,0.014,gut,0.012,geben,0.015,aufgrund,0.015,bekampfen,0.009,daher,0.014,fuhren,0.008,fordern,0.007
10,seine,0.012,fordert,0.012,auf,0.011,aber,0.015,gescheitert,0.007,europaischen,0.013,vom,0.005,erhalten,0.007
11,sorgen,0.012,belastet,0.01,beenden,0.01,kann,0.014,migration,0.007,komman,0.01,starker,0.005,sollen,0.006
12,vor_allem,0.011,ausgestattet,0.009,europaischer,0.009,ihre,0.011,verhindern,0.007,gute,0.009,afd_fordert,0.005,lehnt,0.006
13,dafur,0.011,gerecht,0.009,nutzen,0.009,hinaus,0.01,gesetzliche,0.007,moglichst,0.008,verhindert,0.005,afd_fordert,0.006
14,sozialer,0.01,zunehmende,0.009,halten,0.009,sie,0.01,leisten,0.007,sehr,0.008,konsequent,0.004,weiter,0.005
15,ausbauen,0.009,einsetzen,0.009,indem,0.008,diesem,0.01,reformieren,0.007,zeigen,0.008,etwa,0.004,wir,0.005
16,denen,0.009,nehmen,0.008,sozialen,0.007,einfuhren,0.01,integration,0.007,fachliche,0.008,staatliche,0.004,besser,0.004
17,man,0.008,auslandische,0.008,entsprechend,0.007,diese,0.01,digitaler,0.006,seiner,0.007,rahman,0.003,ein,0.004
18,dass,0.008,moglich,0.007,nehman,0.006,nationaler,0.009,dazu_gehort,0.006,garantierten,0.007,bringen,0.003,verbessern,0.004
19,jede,0.008,bedeutet,0.007,afd_fordert,0.006,durfen,0.009,ring,0.006,stellt,0.006,diesis,0.003,konnen,0.004
20,gehoren,0.007,gilt,0.007,verpflichtende,0.006,entsprechende,0.008,daraus,0.005,zerstort,0.006,internet,0.003,schaffen,0.003
21,afd_fordert,0.007,sehen,0.006,km,0.005,dort,0.008,verfolgen,0.004,strikt,0.006,bis,0.003,dieser,0.003
22,statt,0.007,entschieden,0.005,stattdessen,0.005,sichern,0.007,afd_fordert,0.004,des,0.006,guter,0.003,muss,0.003
23,begrenzen,0.007,gemeinsaman,0.005,neuen,0.005,weitere,0.006,begegnen,0.004,machen,0.006,bestehende,0.003,regionaler,0.003
24,zunehmend,0.006,ausgebaute,0.005,hoch,0.005,konsequente,0.006,schafft,0.004,rechtliche,0.005,internationalen,0.003,schutzen,0.002
25,besteht,0.006,forderungen,0.005,treten,0.005,richtet,0.006,globale,0.004,ersetzen,0.005,verbraucher,0.003,besonder,0.002
26,digitalen,0.006,eingehalten,0.005,braucht,0.004,beispielsweise,0.005,grundlegende,0.003,weil,0.005,beschleunigen,0.002,letzten,0.002
27,liegt,0.006,profitieren,0.004,hoheren,0.004,unterstutzt,0.005,orientiert,0.003,gezeigt,0.004,pandemie,0.002,entscheiden,0.002
28,gefahrdet,0.006,haufig,0.004,offentlich,0.004,vollstandige,0.005,spricht,0.003,entgegenwirken,0.004,ebenso,0.002,politische,0.002
29,anderen,0.006,ihnen,0.004,ubernehman,0.004,selbst,0.005,freiheitliche,0.003,begrußen,0.004,notwendigen,0.002,digitale,0.002
30,gewahrleistet,0.005,befordert,0.004,guten,0.004,gerade,0.005,langer,0.003,ren,0.003,umgehend,0.002,bewahren,0.002
31,einem,0.005,jahrlich,0.004,orientierte,0.004,ersten,0.004,verpflichten,0.003,de,0.003,generelle,0.002,tragen,0.002
32,waren,0.005,angemessene,0.004,bundesweiten,0.004,art,0.004,gelingt,0.003,technische,0.003,gewahrleisten,0.002,hier,0.002
33,viel,0.005,anpassen,0.004,arbeitet,0.004,neu,0.004,verursacht,0.003,fairen,0.003,wirtschaft,0.002,zentrale,0.002
34,betrachten,0.005,erst,0.004,schneller,0.004,lande,0.004,daran,0.003,geschutzt,0.003,dauerhafte,0.002,heute,0.002
35,kulturellen,0.005,bar,0.004,schwerer,0.004,getragen,0.004,gar,0.003,polizei,0.003,etablieren,0.002,großen,0.002
36,weiteren,0.004,moderne,0.004,wirksaman,0.003,be,0.004,liche,0.003,macht,0.003,befurworten,0.002,grundsatzlich,0.001
37,eigene,0.004,erganzen,0.003,gen,0.003,mittel,0.004,gewinnen,0.003,bedingungen,0.003,system,0.002,reduzieren,0.001
38,finanzieren,0.004,aufnehman,0.003,war,0.003,pragen,0.004,gemeinsame,0.003,aufgenomman,0.003,wichtige,0.002,noch,0.001
39,kommen,0.004,erleben,0.003,erhalt,0.003,gesellschaft,0.004,flachendeckende,0.003,gesunde,0.003,finanziellen,0.002,legen,0.001
40,lange,0.004,anheben,0.003,angepasst,0.003,unser,0.003,verankern,0.003,einzuhalten,0.003,sprechen,0.002,unverzichtbar,0.001
41,offene,0.004,andern,0.003,nachhaltigen,0.003,risiken,0.003,kein,0.002,zwischen,0.003,betroffen,0.002,entlasten,0.001
42,privaten,0.004,zahlen,0.003,anzupassen,0.003,dringend,0.003,abhangig,0.002,heutigen,0.003,gehort,0.002,deutlich,0.001
43,wirksam,0.003,afd_fordert,0.002,oftmal,0.002,umfassend,0.003,begleitet,0.002,standard,0.002,steuerlich,0.002,entgegen,0.001
44,tun,0.003,gestarkt,0.002,ausweiten,0.002,kaum,0.003,europa,0.002,erfasst,0.002,gefordert,0.002,wurde,0.001
45,zahlt,0.003,erwerben,0.002,gemacht,0.002,weniger,0.003,direkt,0.002,bessere,0.002,orientieren,0.002,insbesondere,0.001
46,wirksamer,0.003,helfen,0.002,erfullen,0.002,andere,0.003,gestaltet,0.002,zukunftsfest,0.002,geht,0.002,deren,0.001
47,entwickelt,0.003,ebenfall,0.002,saubere,0.002,lage,0.003,stet,0.002,flachendeckend,0.002,gegenuber,0.002,gebracht,0.001
48,sollten,0.003,demokratischer,0.002,dauerhaft,0.002,anderer,0.003,bekomman,0.002,vorangetrieben,0.002,bedarf,0.002,liegen,0.001
49,hinweg,0.003,konnten,0.002,zusatzliche,0.002,bevor,0.003,abgeschafft,0.002,voran,0.002,zukunft,0.002,kulturelle,0.001
50,erschweren,0.003,spater,0.002,senken,0.002,gesetzlichen,0.003,teilweise,0.002,retten,0.002,grundlegend,0.002,staatlichen,0.001
51,flachende_ckende,0.003,gerechter,0.002,streben,0.002,freiheitlich_demokratischen,0.002,wichtigen,0.002,zweite,0.002,faktisch,0.002,allerding,0.001
