,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per
0,wollen,0.075,ist,0.184,auch,0.122,starken,0.037,werden,0.147,die,0.215,fur,0.278,dem,0.11
1,oder,0.069,nicht,0.112,muss,0.08,ihrer,0.034,mussen,0.081,und,0.15,es,0.028,ihre,0.053
2,wird,0.067,nur,0.061,al,0.068,unter,0.026,haben,0.05,der,0.132,unseren,0.02,vor,0.044
3,wir,0.061,sowie,0.043,un,0.03,ohne,0.026,sollen,0.04,den,0.042,uber,0.019,unterstutzen,0.035
4,fordern,0.051,zur,0.033,unserer,0.028,deutsche,0.025,soll,0.032,zu,0.039,dazu,0.017,noch,0.028
5,mehr,0.032,sondern,0.028,sich,0.024,dabei,0.024,darf,0.031,eine,0.038,soziale,0.015,alle,0.026
6,damit,0.029,dafur,0.02,so,0.022,immer,0.023,erhalten,0.029,mit,0.027,in,0.013,ermoglichen,0.02
7,wie,0.026,fordert,0.017,ab,0.018,weiter,0.022,setzt,0.02,sind,0.022,beenden,0.013,stehen,0.018
8,europaischen,0.015,schaffen,0.014,kapitel,0.017,einen,0.021,ein,0.02,afd,0.02,hohe,0.012,kann,0.017
9,beim,0.012,bzw,0.012,besser,0.013,neue,0.02,bereit,0.018,durch,0.02,besonder,0.01,auf,0.015
10,aufgrund,0.012,mindesten,0.011,verbessern,0.012,aller,0.02,konnen,0.017,einer,0.018,denen,0.01,starker,0.015
11,zum,0.012,sorgen,0.011,machen,0.01,lehnt,0.018,sozialen,0.011,bei,0.012,sollte,0.01,indem,0.014
12,vom,0.01,durfen,0.009,fuhrt,0.01,setzen,0.015,deshalb,0.011,nach,0.01,ausbauen,0.009,nutzen,0.013
13,jedoch,0.01,dass,0.008,aber,0.009,digitalen,0.014,man,0.009,unsere,0.009,leisten,0.009,konsequent,0.012
14,verhindert,0.009,gescheitert,0.008,regionaler,0.008,geben,0.014,entscheiden,0.008,hat,0.007,reformieren,0.009,diesem,0.012
15,bis,0.007,migration,0.007,bekampfen,0.008,dieser,0.012,unterstutzt,0.007,daher,0.005,politische,0.008,jede,0.012
16,afd_fordert,0.007,integration,0.007,hinaus,0.006,verhindern,0.012,erhohen,0.007,diese,0.005,einfuhren,0.008,vermeiden,0.009
17,rahman,0.007,digitaler,0.007,sie,0.006,schutzen,0.01,afd_fordert,0.006,insbesondere,0.005,schon,0.007,vielen,0.008
18,bringen,0.007,diesis,0.006,staatliche,0.006,digitale,0.01,sehr,0.006,lehnen,0.005,deutlich,0.007,gilt,0.008
19,vermitteln,0.007,gehoren,0.006,dazu_gehort,0.006,gesetzliche,0.008,ausgestattet,0.006,wieder,0.005,deren,0.007,landlichen,0.007
20,internet,0.007,stellt,0.006,unserem,0.005,europaischer,0.008,wurde,0.005,afd_fordert,0.004,erhalt,0.007,regionale,0.007
21,ring,0.007,gute,0.006,selbst,0.005,entlasten,0.007,verbleiben,0.005,bleiben,0.003,gefuhrt,0.006,notwendigen,0.007
22,statt,0.007,befurworten,0.006,tragen,0.005,neuen,0.007,sein,0.005,keine,0.003,nationalen,0.006,kulturellen,0.007
23,entsprechende,0.006,zeigen,0.005,anderen,0.005,hier,0.007,geleistet,0.005,gegen,0.003,ebenso,0.006,darum,0.007
24,zunehmend,0.006,belastet,0.005,begrenzen,0.005,internationalen,0.007,anspruch,0.005,fuhren,0.003,nehman,0.006,tragt,0.007
25,innere,0.006,gerecht,0.004,sichern,0.005,des,0.007,schafft,0.004,seine,0.002,erreichen,0.006,stattdessen,0.007
26,dort,0.006,einsetzen,0.004,betrachten,0.005,großen,0.007,globale,0.004,gild,0.002,verpflichtende,0.006,hohen,0.006
27,gefahrdet,0.006,derzeitige,0.004,zwischen,0.004,liegt,0.006,nationale,0.004,schutz,0.002,kulturelle,0.005,wichtige,0.006
28,guter,0.006,alternative,0.004,entgegen,0.004,stark,0.006,kommen,0.004,einem,0.002,staatlichen,0.005,junge,0.006
29,legen,0.005,richtet,0.004,verbraucher,0.004,grundsatzlich,0.006,sollten,0.004,vor_allem,0.002,gibt,0.005,verstarken,0.006
30,erleichtern,0.005,sicherstellen,0.004,seiner,0.004,reduzieren,0.006,schulen,0.004,sozialer,0.002,begegnen,0.005,geht,0.005
31,fachliche,0.005,grundlegende,0.004,pandemie,0.004,entsprechend,0.006,bedroht,0.004,halten,0.002,konsequente,0.005,gar,0.005
32,gewahrleistet,0.005,afd_fordert,0.004,afd_fordert,0.004,vereinfachen,0.005,frei,0.004,heute,0.001,moglich,0.005,ubernehman,0.005
33,also,0.005,weder,0.004,verfolgen,0.004,wer,0.005,besten,0.003,offentlicher,0.001,afd_fordert,0.005,sehen,0.005
