text,topic,label,score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
bundesausbildungsförderungsgesetz bafög zukunft jung erwachsene erreichen,Bildung,neutral,0.6085309982299805,Das Bundesausbildungsförderungsgesetz (BAföG) soll in Zukunft wieder mehr junge Erwachsene erreichen,neutral,0.9886702299118042,Das Bundesausbildungsförderungsgesetz (BAföG) soll in Zukunft wieder mehr junge Erwachsene erreichen,bildung,0.4616755545139313,"[('bildung', 0.4616755545139313), ('gesundheit', 0.2685599625110626), ('soziale ursachen', 0.06208990886807442)]"
ziel hilfsbedürftig lebenslage gemeinsam bezwingen be schäftigung falls erforderlich qualifizierung weiterbildung ermöglichen,Bildung,neutral,0.6455543041229248,"Das Ziel muss sein, die hilfsbedürftige Lebenslage gemeinsam zu bezwingen und allen eine Be- schäftigung und, falls erforderlich, eine Qualifizierung und Weiterbildung zu ermöglichen",neutral,0.9821714162826538,"Das Ziel muss sein, die hilfsbedürftige Lebenslage gemeinsam zu bezwingen und allen eine Be- schäftigung und, falls erforderlich, eine Qualifizierung und Weiterbildung zu ermöglichen",bildung,0.2925004661083221,"[('bildung', 0.29250046610832214), ('gesundheit', 0.2668613791465759), ('wirtschaft', 0.10094844549894333)]"
unternehmen groß verantwortung   schaffung ausreichend ausbildungsplätz übernehmen,Bildung,neutral,0.6567522883415222,"Alle Unternehmen, vor allem größere, müssen jedoch mehr Verantwortung für  die Schaffung von ausreichend Ausbildungsplätzen übernehmen",neutral,0.9755895733833312,"Alle Unternehmen, vor allem größere, müssen jedoch mehr Verantwortung für  die Schaffung von ausreichend Ausbildungsplätzen übernehmen",gesundheit,0.2884727120399475,"[('gesundheit', 0.2884727120399475), ('bildung', 0.25566500425338745), ('soziale ursachen', 0.12445306777954102)]"
datenschutz gewährleisten geeignet rahmenbedingung gro ßen plattform gesundheitswirtschaft dominieren,Gesundheit,neutral,0.6039836406707764,"Wir wollen Datenschutz gewährleisten und geeignete Rahmenbedingungen, damit nicht die gro- ßen Plattformen auch die Gesundheitswirtschaft dominieren",neutral,0.981410264968872,"Wir wollen Datenschutz gewährleisten und geeignete Rahmenbedingungen, damit nicht die gro- ßen Plattformen auch die Gesundheitswirtschaft dominieren",gesundheit,0.4783477783203125,"[('gesundheit', 0.4783477783203125), ('wirtschaft', 0.2220853567123413), ('bildung', 0.12299909442663193)]"
säule dauerhaft ausweitung pandemiebedingt erhöht kinderkrank pro kind elternteil elterngeld akut kind maximal pro elternteil alleinerziehend,Gesundheit,neutral,0.7086147665977478,"Die dritte Säule ist die dauerhafte Ausweitung der pandemiebedingt erhöhten Kinderkranken- tage auf Tage pro Kind, Jahr und Elternteil (als „Elterngeld akut“) - bei mehr als zwei Kindern maximal Tage pro Elternteil und Tage für Alleinerziehende",neutral,0.9520012140274048,"Die dritte Säule ist die dauerhafte Ausweitung der pandemiebedingt erhöhten Kinderkranken- tage auf Tage pro Kind, Jahr und Elternteil (als „Elterngeld akut“) - bei mehr als zwei Kindern maximal Tage pro Elternteil und Tage für Alleinerziehende",gesundheit,0.2268085926771164,"[('gesundheit', 0.2268085926771164), ('bildung', 0.22274363040924072), ('soziale ursachen', 0.20145323872566223)]"
psycholo- gisch gutachten feststellung geschlechtsidentität abschaffen,Gesundheit,negativ,0.4880115389823913,Psycholo- gische Gutachten zur Feststellung der Geschlechtsidentität werden wir abschaffen,neutral,0.9853352308273317,Psycholo- gische Gutachten zur Feststellung der Geschlechtsidentität werden wir abschaffen,bildung,0.4612877070903778,"[('bildung', 0.4612877070903778), ('gesundheit', 0.17055553197860718), ('politik und ideologie', 0.11148892343044281)]"
sorgen gleichwertig le bensverhältnisse stadt land,Infrastruktur,neutral,0.7304743528366089,Sie sorgt für gleichwertige Le- bensverhältnisse in Stadt und Land,neutral,0.98405784368515,Sie sorgt für gleichwertige Le- bensverhältnisse in Stadt und Land,bildung,0.2780881822109222,"[('bildung', 0.27808818221092224), ('gesundheit', 0.14240142703056335), ('wirtschaft', 0.12439681589603424)]"
bürgergeld digital unkompliziert zugänglich,Infrastruktur,neutral,0.8224790096282959,Das Bürgergeld soll digital und unkompliziert zugänglich sein,neutral,0.989812672138214,Das Bürgergeld soll digital und unkompliziert zugänglich sein,gesundheit,0.4405793845653534,"[('gesundheit', 0.4405793845653534), ('bildung', 0.2667250633239746), ('soziale ursachen', 0.07952043414115906)]"
selbstbestimmung digital mündigkeit bürger*inne leitbild digitalisierung zugutekommen,Infrastruktur,neutral,0.5283516049385071,"Die Selbstbestimmung und digitale Mündigkeit der Bürger*innen ist unser Leitbild, damit die Digitalisierung allen zugutekommen kann",neutral,0.985620379447937,"Die Selbstbestimmung und digitale Mündigkeit der Bürger*innen ist unser Leitbild, damit die Digitalisierung allen zugutekommen kann",bildung,0.9020683765411376,"[('bildung', 0.9020683765411377), ('gesundheit', 0.04639033228158951), ('klima', 0.013645842671394348)]"
kombination maßnahme umweltbonus kauf elektroauto förderprogram- men heizungstausch sorgen klimafreundlich alternative attraktiv,Klima,neutral,0.611627459526062,"In Kombination mit anderen Maßnahmen wie dem Umweltbonus beim Kauf eines Elektroautos oder Förderprogram- men zum Heizungstausch sorgt er dafür, dass klimafreundliche Alternativen attraktiver werden",neutral,0.9883198738098145,"In Kombination mit anderen Maßnahmen wie dem Umweltbonus beim Kauf eines Elektroautos oder Förderprogram- men zum Heizungstausch sorgt er dafür, dass klimafreundliche Alternativen attraktiver werden",gesundheit,0.3358089923858642,"[('gesundheit', 0.33580899238586426), ('klima', 0.3010140657424927), ('bildung', 0.1961440145969391)]"
gehören einreiseverbot einfrieren konto,Klima,neutral,0.6086252927780151,Dazu gehören Einreiseverbote und das Einfrieren von Konten,neutral,0.934700608253479,Dazu gehören Einreiseverbote und das Einfrieren von Konten,bildung,0.4022923707962036,"[('bildung', 0.4022923707962036), ('gesundheit', 0.22472244501113892), ('soziale ursachen', 0.07457998394966125)]"
zudem rüstungskontrolle bereich biotechnologie cyber künstlich intelligenz etablieren,Klima,neutral,0.8238441944122314,"Wir werden zudem Rüstungskontrolle auch in den Bereichen Biotechnologie, Cyber und Künstliche Intelligenz etablieren",neutral,0.9829055070877076,"Wir werden zudem Rüstungskontrolle auch in den Bereichen Biotechnologie, Cyber und Künstliche Intelligenz etablieren",bildung,0.34125617146492,"[('bildung', 0.34125617146492004), ('gesundheit', 0.15531018376350403), ('soziale ursachen', 0.11516308039426804)]"
